,osm_way_id,osm_start_node_id,osm_end_node_id
92512,375461312,42887282,42927258
92513,587355690,5488875462,42483800
93016,587355690,42494011,42483800
93296,68325079,4207932665,42437371
93785,420904618,42434439,42437371
94410,460585328,42455751,42437371
95154,274860904,42966243,2614652094
95165,195743315,4207786966,42452814
95906,221596661,42521903,42494897
95931,221596661,42529050,42494897
95945,286528827,276315696,5481955844
96086,195743194,595338090,42441949
96590,195743194,42441947,42441949
97138,5681936,42537046,42476219
97489,5681936,42475343,42476219
97901,420340889,5488611024,5314096944
98425,587355731,5314096946,5314096944
99127,5698757,42733063,1570448237
99128,5698757,42753681,1570448237
99137,198924732,42846339,2581978871
99156,198924732,42856720,2581978871
99225,5712884,42956648,42974630
99228,421750611,42469437,5104592946
99355,46819498,248606976,248606975
100098,678190376,277786880,277628529
100566,133803562,1346351571,277628529
101087,68665335,42971541,42971545
101091,68665335,42971554,42971545
101094,225868291,42989122,42959589
101097,588183079,4202380189,42959589
101107,46680954,596586502,595491228
101252,46594491,596586512,595491228
101785,420890027,4207815981,42435710
102528,499172074,4546109662,42435710
102958,230625214,2377652121,2377664191
103057,46865653,42467240,42487979
103107,46865653,42487976,42487979
103194,379500304,42488676,42487979
103197,379500304,42488681,42487979
103199,46613627,42432900,42432897
103277,420882494,4207743627,42432897
103508,222801076,2317462552,2317435431
103517,5679107,42505862,2317435431
103522,46121845,451019504,588036452
104166,5673614,42433587,3584752195
104863,45545080,42737226,42760396
105050,45545080,42760393,42760396
105148,169381965,42437451,42431684
105888,195743167,42431681,42431684
106024,247960486,42524065,5488559809
106037,247960486,42519480,5488559809
106079,198924627,2089938145,592643518
106823,218644677,588152454,4486154961
107567,46869110,42864466,2551900776
107611,46869110,42865431,2551900776
107651,38789487,278209349,278209477
108062,47845025,42458728,42429946
108136,440122904,42454538,42429946
108228,45711595,42737226,42722735
108229,224074983,42759332,42722735
108377,198595461,596775930,42436511
108845,458180199,42445953,42436511
109588,244779379,42726552,2520521403
109608,244779378,42740369,2520521403
110031,5707457,42826154,42847227
110044,5707457,42905363,42847227
110091,586390354,42809660,2757168852
110230,684488141,6412969946,2757168852
110892,5682172,42474664,42501312
111041,46817191,42501314,42501312
111044,5710355,42861860,5118595080
111097,226933491,4202714692,42491730
111747,226933491,42472052,42491730
112161,274894218,42978649,42978644
112192,274894218,42978639,42978644
112217,46581216,3747282386,42428223
112343,5670719,42430282,42428223
112862,46140176,42808193,42872024
112900,46563143,61261104,61261108
113644,222278161,5488806905,42489139
114059,551978118,5488806901,42489139
114406,420565413,4205158931,42489139
114792,559998263,6382963042,42753927
114832,191963024,42753924,42753927
115267,222788206,42954397,5490187533
115268,5711730,42958319,42958320
115269,5701571,42813701,5118653142
115270,526345517,5118653126,5118653142
115600,5680945,42490916,42525015
115739,221689131,42525014,42525015
115743,5680945,42487180,42525015
115780,247956705,2548031993,42842735
115790,5678032,42465680,598300223
115801,46846356,42465868,598300223
116483,183916221,5996196764,42478118
116520,227064535,42527881,42478118
117040,5670519,42428709,1061531847
117066,320516789,1061531790,1061531847
117263,198924673,2089937993,2089937982
117279,396218273,42823438,2089937982
117971,222788203,42978274,5490204124
117972,222788203,5490204128,5490204124
117975,5702235,2711571385,5527147226
117987,5702235,42825136,5527147226
117988,183794649,2581991808,2581991257
118572,219916730,42888458,42877289
118640,682382709,42860217,42860213
119291,270694727,2757013720,42860213
119328,5709378,5118634974,42860213
119334,276817115,42812979,42901986
119387,276817115,42857871,42901986
119463,584971432,42442463,1061531454
120064,44164413,1061531803,1061531454
120399,584971432,42428653,1061531454
120974,626557213,5651149819,5651149818
120976,46728963,277031675,597363459
121719,5711179,5490239624,5490239636
121722,68325081,598043790,4205224096
122464,374571145,42823985,42823989
122888,542401025,5482682983,42823989
122899,421101667,4202794109,4209253781
123276,420341597,42477025,4209253781
123566,310572195,42884983,42825410
123613,310572195,42884978,42825410
123614,46673640,596455767,596455780
124304,208795696,42483971,42492519
124352,208795696,42503040,42492519
124439,5698146,42754930,5482739963
124451,5698146,42748438,5482739963
124733,406622600,4086742511,4086742439
124735,406622587,446725710,4086742439
124737,46680451,42739524,5487871440
124947,46469718,593886214,4215926836
125691,5677068,42482734,42482732
125692,343381909,42488532,3291686131
125813,5680195,42501969,3291686131
125942,38316060,452386146,452386185
126237,424094905,4235743683,4235743684
126863,198595477,2963821776,276204328
127364,420306127,42844306,276204328
128006,32056513,42946862,42993621
128069,588183090,42993614,42993621
128070,25166149,274327721,274327683
128176,46591073,42433064,42428086
128301,5669714,42428090,42428086
128330,564385621,42433066,42428086
128518,49175637,42836850,42836854
128519,276083283,42500028,42500262
128853,583735202,5482692743,42500262
128909,5680831,42476959,42481722
128977,5680831,42483740,42481722
129282,221698685,42481716,42481722
129991,275133417,42843041,3286244682
129997,275133417,3451511635,3286244682
130040,274839985,42827705,42827708
130052,420566514,42837889,822655956
130072,46723466,597311488,488248771
130815,221759320,1970262958,42518571
131559,274894221,42481641,42518571
131562,198595537,42885769,42900665
131585,198595537,42920407,42900665
131618,375592557,42836758,42836761
131621,375592557,42836764,42836761
131628,5703894,1701254636,42852639
131635,620198055,42808774,42808780
131642,620198055,42808787,42808780
131696,586133544,42446604,1764405361
131788,623836437,1764626362,1764405361
131875,308329351,42452495,1764405361
131982,5704228,42824053,3779614585
132011,506741851,3779614595,3779614585
132108,5704557,42831140,42850049
132125,25703125,42785861,42850049
132262,226829103,2509345590,2509345592
132270,420350066,42523379,4202884469
132761,420350068,5423460867,4202884469
133275,223491201,596400204,42760339
133936,5699549,42720113,42760339
134675,223491201,42760335,42760339
135242,634101570,5490759422,42465899
135895,606305504,42465736,42465899
135896,592449431,278209964,42816463
135898,221686902,4768905194,42866384
136496,221686902,597294497,42866384
136766,183103686,42745775,42741718
136885,5697055,42780917,42741718
136889,183103686,42750841,42741718
136894,5697055,42741712,42741718
136895,491160986,42519511,42521221
137136,208793271,42487909,42465599
137351,208793259,42465611,42465599
137353,208793257,42487912,42465599
137700,208793267,42465592,42465599
137701,566446001,42809304,5455151894
137755,5702820,42834381,5455151894
137756,566446002,5455151892,5455151894
137771,276146443,42515286,42515289
137821,276146434,42515293,42515289
137831,5681538,42502012,42515289
137868,656566405,6150262327,6150262326
137926,420556665,3530981342,4205048392
138041,278105456,42747059,42776363
138046,171331557,452389379,452389396
138790,420357227,464688542,4202958142
138795,420357223,464637323,4202958142
138798,5670897,42440548,1692433936
139317,195743304,42430722,4207854749
140053,420317499,42741292,2025209404
140710,420317499,4202561250,2025209404
141338,191963009,2025209368,2025209404
141632,421319980,279156226,279156222
141920,421319980,4210981699,279156222
142231,610042537,42943265,2881719276
142234,610042537,2881719275,2881719276
142279,423685224,5490149254,5490149259
