,osm_way_id,osm_start_node_id,osm_end_node_id
8889,373541570,280690762,53200937
8923,373541568,53192649,53200937
8994,158274737,1705065425,1705065912
8995,258982109,50784871,2289434702
9002,309849166,3151879409,2289434702
9014,427901878,5429057422,4270671152
9024,427901881,5429057442,4270671152
9026,340094350,30003689,446445221
9346,6475475,53067078,53106786
9347,6424263,4065677741,53109863
9468,457542621,4065677752,53109863
9527,23749684,33449737,257287858
9528,133397734,50788400,412125537
9588,428084693,5447180364,4272289727
9600,427909574,799971550,5454512467
9965,428238055,53076838,508037845
10327,428238055,5084677595,508037845
10620,427896642,5454339394,2786859927
10637,347402556,3537295232,3537295230
10731,347402557,53216176,3537295230
10841,61913192,6076208016,5438559233
10843,61913192,53064386,5438559233
10844,6420419,5377392910,53174822
10845,428064483,5377392906,53174822
10846,427904615,4270689563,53163940
10847,259265685,4559281873,53163940
10848,427904626,1739832535,53163940
10853,428020420,6032997532,6032997527
10855,428317205,5431558037,5431558046
10859,428317205,5431558061,5431558046
10862,428236541,53044913,4273720163
10873,658280965,53104312,4273720163
10877,533331726,4252794495,4252794516
10890,533331726,568231603,4252794516
10939,657455356,2039352657,53208714
10943,398440295,6157768614,53208714
10944,512134595,1346988342,31326827
11625,260545438,53173576,53173579
11627,428236082,544381512,417740132
11993,428236082,417740131,417740132
12291,332591273,4273638470,5225467854
12675,540081932,53071891,5225467854
12980,6448598,676320076,53129913
13175,22759219,53129911,53129913
13176,6448598,244284912,53129913
13550,478657620,4718691416,53248316
13587,428011233,4271689771,53248316
13588,428092230,53154180,4272342845
13592,428092228,4272342844,4272342845
13595,427904627,53062949,4270689561
13601,428032807,53163953,4270689561
13602,158718178,53098391,67507367
13605,428067872,4640177584,799957955
13831,424470673,4238754481,4270675786
13879,427902316,53228289,4270675786
13903,368212455,5419191777,5419191781
13905,428010232,3350872678,53133088
13907,428010232,5409286869,53133088
13910,428090378,4272328664,4272328667
13969,649725824,3905556566,3905556561
14613,649725824,53157733,3905556561
15267,374389022,59699521,32268787
15301,385070612,53124635,53124633
15502,385070612,53117108,53124633
15639,598101144,5693118929,5693118930
15695,484846142,4775958426,4775958427
15699,659973126,53115514,2576356281
15701,6128628,50710199,50710201
15702,364210657,6122409136,4272285441
15712,428234762,50739883,1069759772
